Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;6;0;2024-09-30 11:01:17
16 anos;1;0;2024-09-30 11:01:17
17 anos;2;0;2024-09-30 11:01:17
18 anos;648;0,0012;2024-09-30 11:01:17
19 anos;1388;0,0025;2024-09-30 11:01:17
20 anos;1972;0,0035;2024-09-30 11:01:17
21 a 24 anos;13108;0,0235;2024-09-30 11:01:17
25 a 29 anos;29878;0,0536;2024-09-30 11:01:17
30 a 34 anos;51325;0,092;2024-09-30 11:01:17
35 a 39 anos;77326;0,1387;2024-09-30 11:01:17
40 a 44 anos;88637;0,1589;2024-09-30 11:01:17
45 a 49 anos;86283;0,1547;2024-09-30 11:01:17
50 a 54 anos;78499;0,1408;2024-09-30 11:01:17
55 a 59 anos;61531;0,1103;2024-09-30 11:01:17
60 a 64 anos;36910;0,0662;2024-09-30 11:01:17
65 a 69 anos;19022;0,0341;2024-09-30 11:01:17
70 a 74 anos;7611;0,0136;2024-09-30 11:01:17
75 a 79 anos;2468;0,0044;2024-09-30 11:01:17
80 a 84 anos;633;0,0011;2024-09-30 11:01:17
85 a 89 anos;123;0,0002;2024-09-30 11:01:17
90 a 94 anos;20;0;2024-09-30 11:01:17
95 a 99 anos;8;0;2024-09-30 11:01:17
Não divulgável;279;0,0005;2024-09-30 11:01:17
