Faixa etária;Quantitativo;Porcentagem;Data de carga
20 anos;4;0,0003;2023-03-02 10:08:24
21 a 24 anos;186;0,0124;2023-03-02 10:08:24
25 a 29 anos;518;0,0344;2023-03-02 10:08:24
30 a 34 anos;1292;0,0859;2023-03-02 10:08:24
35 a 39 anos;2281;0,1517;2023-03-02 10:08:24
40 a 44 anos;2926;0,1945;2023-03-02 10:08:24
45 a 49 anos;2830;0,1882;2023-03-02 10:08:24
50 a 54 anos;2101;0,1397;2023-03-02 10:08:24
55 a 59 anos;1401;0,0932;2023-03-02 10:08:24
60 a 64 anos;793;0,0527;2023-03-02 10:08:24
65 a 69 anos;393;0,0261;2023-03-02 10:08:24
70 a 74 anos;207;0,0138;2023-03-02 10:08:24
75 a 79 anos;74;0,0049;2023-03-02 10:08:24
80 a 84 anos;26;0,0017;2023-03-02 10:08:24
85 a 89 anos;3;0,0002;2023-03-02 10:08:24
90 a 94 anos;1;0,0001;2023-03-02 10:08:24
95 a 99 anos;4;0,0003;2023-03-02 10:08:24
