Faixa etária;Quantitativo;Porcentagem;Data de carga
85 a 89 anos;76;0,0002;2023-03-01 15:39:11
20 anos;1337;0,0035;2023-03-01 15:39:11
35 a 39 anos;54766;0,1436;2023-03-01 15:39:11
50 a 54 anos;52110;0,1367;2023-03-01 15:39:11
55 a 59 anos;33732;0,0885;2023-03-01 15:39:11
45 a 49 anos;66334;0,174;2023-03-01 15:39:11
30 a 34 anos;38716;0,1015;2023-03-01 15:39:11
60 a 64 anos;17779;0,0466;2023-03-01 15:39:11
17 anos;3;0;2023-03-01 15:39:11
40 a 44 anos;68738;0,1803;2023-03-01 15:39:11
75 a 79 anos;1166;0,0031;2023-03-01 15:39:11
19 anos;874;0,0023;2023-03-01 15:39:11
25 a 29 anos;23797;0,0624;2023-03-01 15:39:11
18 anos;377;0,001;2023-03-01 15:39:11
80 a 84 anos;366;0,001;2023-03-01 15:39:11
100 anos ou mais;18;0;2023-03-01 15:39:11
95 a 99 anos;2;0;2023-03-01 15:39:11
70 a 74 anos;3533;0,0093;2023-03-01 15:39:11
90 a 94 anos;16;0;2023-03-01 15:39:11
65 a 69 anos;8371;0,022;2023-03-01 15:39:11
21 a 24 anos;9216;0,0242;2023-03-01 15:39:11
