Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;10;0,0004;2023-03-01 13:21:52
19 anos;3;0,0001;2023-03-01 13:21:52
20 anos;9;0,0004;2023-03-01 13:21:52
21 a 24 anos;314;0,0139;2023-03-01 13:21:52
25 a 29 anos;903;0,0401;2023-03-01 13:21:52
30 a 34 anos;1640;0,0728;2023-03-01 13:21:52
35 a 39 anos;2580;0,1145;2023-03-01 13:21:52
40 a 44 anos;3519;0,1561;2023-03-01 13:21:52
45 a 49 anos;4164;0,1848;2023-03-01 13:21:52
50 a 54 anos;3723;0,1652;2023-03-01 13:21:52
55 a 59 anos;2760;0,1225;2023-03-01 13:21:52
60 a 64 anos;1528;0,0678;2023-03-01 13:21:52
65 a 69 anos;816;0,0362;2023-03-01 13:21:52
70 a 74 anos;366;0,0162;2023-03-01 13:21:52
75 a 79 anos;147;0,0065;2023-03-01 13:21:52
80 a 84 anos;43;0,0019;2023-03-01 13:21:52
85 a 89 anos;10;0,0004;2023-03-01 13:21:52
90 a 94 anos;2;0,0001;2023-03-01 13:21:52
