Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;8;0;2023-03-13 15:28:45
18 anos;702;0,0014;2023-03-13 15:28:45
19 anos;1701;0,0034;2023-03-13 15:28:45
20 anos;2235;0,0045;2023-03-13 15:28:45
21 a 24 anos;13642;0,0274;2023-03-13 15:28:45
25 a 29 anos;30460;0,0613;2023-03-13 15:28:45
30 a 34 anos;51727;0,1041;2023-03-13 15:28:45
35 a 39 anos;69910;0,1407;2023-03-13 15:28:45
40 a 44 anos;76776;0,1545;2023-03-13 15:28:45
45 a 49 anos;77343;0,1556;2023-03-13 15:28:45
50 a 54 anos;70432;0,1417;2023-03-13 15:28:45
55 a 59 anos;49198;0,099;2023-03-13 15:28:45
60 a 64 anos;29941;0,0602;2023-03-13 15:28:45
65 a 69 anos;14369;0,0289;2023-03-13 15:28:45
70 a 74 anos;5696;0,0115;2023-03-13 15:28:45
75 a 79 anos;2000;0,004;2023-03-13 15:28:45
80 a 84 anos;583;0,0012;2023-03-13 15:28:45
85 a 89 anos;133;0,0003;2023-03-13 15:28:45
90 a 94 anos;27;0,0001;2023-03-13 15:28:45
95 a 99 anos;2;0;2023-03-13 15:28:45
Não divulgável;92;0,0002;2023-03-13 15:39:09
