Faixa etária;Quantitativo;Porcentagem;Data de carga
18 anos;2;0,0001;2021-06-23 18:50:53
19 anos;17;0,0006;2021-06-23 18:50:53
20 anos;37;0,0014;2021-06-23 18:50:53
21 a 24 anos;485;0,0185;2021-06-23 18:50:53
25 a 29 anos;1130;0,0432;2021-06-23 18:50:53
30 a 34 anos;2150;0,0822;2021-06-23 18:50:53
35 a 39 anos;2989;0,1143;2023-10-19 16:17:44
40 a 44 anos;3822;0,1461;2023-10-19 16:17:44
45 a 49 anos;4452;0,1702;2023-10-19 16:17:44
50 a 54 anos;4234;0,1618;2023-10-19 16:17:44
55 a 59 anos;3138;0,1199;2023-10-19 16:17:44
60 a 64 anos;2036;0,0778;2023-10-19 16:17:44
65 a 69 anos;971;0,0371;2023-10-19 16:17:44
70 a 74 anos;472;0,018;2023-10-19 16:17:44
75 a 79 anos;158;0,006;2023-10-19 16:17:44
80 a 84 anos;52;0,002;2021-06-23 18:50:53
85 a 89 anos;13;0,0005;2021-06-23 18:50:53
90 a 94 anos;3;0,0001;2021-06-23 18:50:53
