Faixa etária;Quantitativo;Porcentagem;Data de carga
25 a 29 anos;655;0,0602;2021-06-21 15:28:17
80 a 84 anos;8;0,0007;2021-06-21 15:28:17
18 anos;5;0,0005;2021-06-21 15:28:17
100 anos ou mais;1;0,0001;2021-06-21 15:28:17
70 a 74 anos;71;0,0065;2021-06-21 15:28:17
21 a 24 anos;201;0,0185;2021-06-21 15:28:17
65 a 69 anos;187;0,0172;2021-06-21 15:28:17
Inválida;7;0,0006;2021-06-21 15:28:17
85 a 89 anos;1;0,0001;2021-06-21 15:28:17
20 anos;31;0,0029;2021-06-21 15:28:17
50 a 54 anos;1175;0,1081;2021-06-21 15:28:17
55 a 59 anos;773;0,0711;2021-06-21 15:28:17
35 a 39 anos;1956;0,1799;2021-06-21 15:28:17
30 a 34 anos;1406;0,1293;2021-06-21 15:28:17
45 a 49 anos;1807;0,1662;2021-06-21 15:28:17
60 a 64 anos;393;0,0361;2021-06-21 15:28:17
40 a 44 anos;2152;0,1979;2021-06-21 15:28:17
75 a 79 anos;30;0,0028;2021-06-21 15:28:17
19 anos;13;0,0012;2021-06-21 15:28:17
