Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;165;0,0003;2023-02-14 08:47:37
17 anos;9;0;2023-02-14 08:47:37
18 anos;691;0,0014;2023-02-14 08:47:37
19 anos;1508;0,0031;2023-02-14 08:47:37
20 anos;1967;0,0041;2023-02-14 08:47:37
21 a 24 anos;13099;0,0271;2023-02-14 08:47:37
25 a 29 anos;31211;0,0646;2023-02-14 08:47:37
30 a 34 anos;51602;0,1069;2023-02-14 08:47:37
35 a 39 anos;66278;0,1373;2023-02-14 08:47:37
40 a 44 anos;77649;0,1608;2023-02-14 08:47:37
45 a 49 anos;81077;0,1679;2023-02-14 08:47:37
50 a 54 anos;66693;0,1381;2023-02-14 08:47:37
55 a 59 anos;45562;0,0944;2023-02-14 08:47:37
60 a 64 anos;25641;0,0531;2023-02-14 08:47:37
65 a 69 anos;11491;0,0238;2023-02-14 08:47:37
70 a 74 anos;4900;0,0101;2023-02-14 08:47:37
75 a 79 anos;1636;0,0034;2023-02-14 08:47:37
80 a 84 anos;474;0,001;2023-02-14 08:47:37
85 a 89 anos;111;0,0002;2023-02-14 08:47:37
90 a 94 anos;13;0;2023-02-14 08:47:37
95 a 99 anos;5;0;2023-02-14 08:47:37
Não divulgável;1086;0,0022;2023-02-14 08:47:37
