Ano;Faixa etária;Quantitativo;Porcentagem
1996;50 a 54 anos;1175;0,1081
1996;55 a 59 anos;773;0,0711
1996;35 a 39 anos;1956;0,1799
1996;30 a 34 anos;1406;0,1293
1996;45 a 49 anos;1807;0,1662
1996;60 a 64 anos;393;0,0361
1996;40 a 44 anos;2152;0,1979
1996;75 a 79 anos;30;0,0028
1996;19 anos;13;0,0012
1996;<21 anos;49;0,0046
1996;>74 anos;40;0,0037
