Faixa etária;Quantitativo;Porcentagem;Data de carga
100 anos ou mais;7;0,0004;2023-03-29 11:16:54
19 anos;1;0,0001;2023-03-29 11:16:54
20 anos;9;0,0005;2023-03-29 11:16:54
21 a 24 anos;898;0,0453;2023-03-29 11:16:54
25 a 29 anos;683;0,0344;2023-03-29 11:16:54
30 a 34 anos;1449;0,073;2023-03-29 11:16:54
35 a 39 anos;2869;0,1446;2023-03-29 11:16:54
40 a 44 anos;3696;0,1863;2023-03-29 11:16:54
45 a 49 anos;3655;0,1842;2023-03-29 11:16:54
50 a 54 anos;2926;0,1475;2023-03-29 11:16:54
55 a 59 anos;1732;0,0873;2023-03-29 11:16:54
60 a 64 anos;1011;0,051;2023-03-29 11:16:54
65 a 69 anos;520;0,0262;2023-03-29 11:16:54
70 a 74 anos;236;0,0119;2023-03-29 11:16:54
75 a 79 anos;111;0,0056;2023-03-29 11:16:54
80 a 84 anos;26;0,0013;2023-03-29 11:16:54
85 a 89 anos;9;0,0005;2023-03-29 11:16:54
90 a 94 anos;1;0,0001;2023-03-29 11:16:54
